"produktbereich","produktgruppe","produkt","produktgruppe_bez","E_A","haushaltsposition","jahr","euro"
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,100
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,50
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,40
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,100
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,100
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,100
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,6000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,6000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,6000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,200
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,250
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,200
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,2000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,2500
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,650
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,2100
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,2100
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,2100
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Zuweisungen/Zuschüsse sowie besondere Finanzaufwendungen",2013,8500
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Zuweisungen/Zuschüsse sowie besondere Finanzaufwendungen",2011,8500
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Zuweisungen/Zuschüsse sowie besondere Finanzaufwendungen",2012,8500
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Zuweisungen/Zuschüsse sowie besondere Finanzaufwendungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Zuweisungen/Zuschüsse sowie besondere Finanzaufwendungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Zuweisungen/Zuschüsse sowie besondere Finanzaufwendungen",2016,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2013,600
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2011,1540
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2012,1200
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2013,29000
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2011,23750
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2012,26000
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2013,50
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2011,50
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2012,50
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2013,7000
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2011,13750
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2012,10000
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Personalaufwendungen",2013,284470
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Personalaufwendungen",2011,312040
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Personalaufwendungen",2012,206070
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Personalaufwendungen",2014,""
10,10.20,"10.20.01","Verwaltungssteuerung und -service","A","Personalaufwendungen",2015,""
